 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.0000E+00,
 0.1557E+03,
 0.2858E+04,
 0.5914E+04,
 0.7899E+04,
 0.9005E+04,
 0.1017E+05,
 0.1141E+05,
 0.1271E+05,
 0.1551E+05,
 0.2184E+05,
 0.3666E+05,
 0.7048E+05,
 0.1105E+06,
 0.0000E+00,
 0.0000E+00,
 0.2077E+04,
 0.7897E+04,
 0.1245E+05,
 0.1510E+05,
 0.1653E+05,
 0.1802E+05,
 0.1942E+05,
 0.2100E+05,
 0.2438E+05,
 0.3178E+05,
 0.4880E+05,
 0.8965E+05,
 0.1822E+06,
 0.0000E+00,
 0.0000E+00,
 0.5161E+04,
 0.1430E+05,
 0.2063E+05,
 0.2419E+05,
 0.2609E+05,
 0.2803E+05,
 0.3005E+05,
 0.3215E+05,
 0.3646E+05,
 0.4582E+05,
 0.6702E+05,
 0.1173E+06,
 0.2365E+06,
 0.0000E+00,
 0.0000E+00,
 0.1049E+05,
 0.2450E+05,
 0.3358E+05,
 0.3858E+05,
 0.4123E+05,
 0.4396E+05,
 0.4672E+05,
 0.4956E+05,
 0.5545E+05,
 0.6818E+05,
 0.9626E+05,
 0.1620E+06,
 0.3185E+06,
 0.0000E+00,
 0.0000E+00,
 0.1831E+05,
 0.3912E+05,
 0.5221E+05,
 0.5935E+05,
 0.6302E+05,
 0.6681E+05,
 0.7070E+05,
 0.7471E+05,
 0.8292E+05,
 0.1004E+06,
 0.1389E+06,
 0.2276E+06,
 0.4364E+06,
 0.0000E+00,
 0.0000E+00,
 0.2969E+05,
 0.6041E+05,
 0.7918E+05,
 0.8934E+05,
 0.9465E+05,
 0.9999E+05,
 0.1055E+06,
 0.1111E+06,
 0.1227E+06,
 0.1472E+06,
 0.2006E+06,
 0.3225E+06,
 0.6068E+06,
 0.0000E+00,
 0.0000E+00,
 0.4631E+05,
 0.9140E+05,
 0.1185E+06,
 0.1332E+06,
 0.1408E+06,
 0.1484E+06,
 0.1564E+06,
 0.1643E+06,
 0.1809E+06,
 0.2156E+06,
 0.2905E+06,
 0.4605E+06,
 0.8540E+06,
 0.0000E+00,
 0.0000E+00,
 0.7037E+05,
 0.1364E+06,
 0.1756E+06,
 0.1968E+06,
 0.2078E+06,
 0.2188E+06,
 0.2301E+06,
 0.2416E+06,
 0.2652E+06,
 0.3148E+06,
 0.4214E+06,
 0.6609E+06,
 0.1210E+07,
 0.0000E+00,
 0.0000E+00,
 0.1053E+06,
 0.2012E+06,
 0.2582E+06,
 0.2884E+06,
 0.3040E+06,
 0.3200E+06,
 0.3359E+06,
 0.3528E+06,
 0.3865E+06,
 0.4570E+06,
 0.6087E+06,
 0.9470E+06,
 0.1718E+07,
 0.0000E+00,
 0.0000E+00,
 0.9360E+05,
 0.2305E+06,
 0.3140E+06,
 0.3589E+06,
 0.3823E+06,
 0.4059E+06,
 0.4298E+06,
 0.4543E+06,
 0.5040E+06,
 0.6091E+06,
