1.46E+06,1.47E+06,1.47E+06,1.47E+06,1.47E+06,1.48E+06,1.48E+06,1.48E+06,1.48E+06,1.48E+06,1.48E+06,1.48E+06,1.48E+06,1.48E+06,1.49E+06,  
1.78E+06,1.78E+06,1.79E+06,1.79E+06,1.79E+06,1.79E+06,1.79E+06,1.79E+06,1.79E+06,1.79E+06,1.79E+06,1.79E+06,1.79E+06,1.80E+06,1.80E+06,  
2.14E+06,2.15E+06,2.15E+06,2.15E+06,2.15E+06,2.15E+06,2.15E+06,2.15E+06,2.16E+06,2.16E+06,2.16E+06,2.16E+06,2.16E+06,2.16E+06,2.17E+06,  
2.56E+06,2.57E+06,2.57E+06,2.57E+06,2.58E+06,2.58E+06,2.58E+06,2.58E+06,2.58E+06,2.58E+06,2.58E+06,2.58E+06,2.58E+06,2.58E+06,2.59E+06,  
3.05E+06,3.06E+06,3.06E+06,3.06E+06,3.06E+06,3.07E+06,3.07E+06,3.07E+06,3.07E+06,3.07E+06,3.07E+06,3.07E+06,3.07E+06,3.07E+06,3.08E+06,  
3.61E+06,3.62E+06,3.62E+06,3.63E+06,3.63E+06,3.63E+06,3.63E+06,3.63E+06,3.63E+06,3.63E+06,3.63E+06,3.63E+06,3.63E+06,3.63E+06,3.64E+06,  
4.25E+06,4.25E+06,4.25E+06,4.25E+06,4.25E+06,4.26E+06,4.26E+06,4.26E+06,4.26E+06,4.26E+06,4.26E+06,4.26E+06,4.26E+06,4.26E+06,4.27E+06,  
4.89E+06,4.90E+06,4.90E+06,4.90E+06,4.90E+06,4.90E+06,4.90E+06,4.90E+06,4.90E+06,4.90E+06,4.90E+06,4.90E+06,4.90E+06,4.90E+06,4.91E+06,  
5.58E+06,5.58E+06,5.59E+06,5.59E+06,5.59E+06,5.59E+06,5.59E+06,5.59E+06,5.59E+06,5.59E+06,5.59E+06,5.59E+06,5.59E+06,5.59E+06,5.60E+06,  
6.33E+06,6.33E+06,6.34E+06,6.34E+06,6.34E+06,6.34E+06,6.34E+06,6.34E+06,6.34E+06,6.34E+06,6.34E+06,6.34E+06,6.34E+06,6.34E+06,6.35E+06,  
7.14E+06,7.14E+06,7.15E+06,7.15E+06,7.15E+06,7.15E+06,7.15E+06,7.15E+06,7.15E+06,7.15E+06,7.15E+06,7.15E+06,7.15E+06,7.15E+06,7.16E+06,  
